new item id,current item id
24652392,n/a
24652393,n/a
24652394,n/a
24652395,n/a
24652397,n/a
24652398,n/a
24652399,n/a
24652400,n/a
24652401,n/a
24652402,n/a
24652403,n/a
24652404,n/a
24652405,n/a
24652406,n/a
24652407,n/a
24654763,n/a
24654764,n/a
24658297,n/a
24658298,n/a
24658299,n/a
24658300,n/a
24654765,n/a
24654766,n/a
24654767,n/a
24654768,n/a
24654769,n/a
24654770,n/a
24654771,n/a
24654772,n/a
24654773,n/a
24654774,n/a
24654775,n/a
24658291,n/a
24658292,n/a
24658293,n/a
24658294,24615368
24654776,24615370
24654777,24615372
24654778,24615371
24658295,24615369
24658296,24615367
24654758,n/a
24654759,n/a
24654760,n/a
24652465,n/a
24652466,n/a
2632697,n/a
24652468,n/a
24652469,24625971
24652470,24625972
24652471,24625973
24652472,24625974
24652473,24625975
24652474,
24652475,
24652476,
24652477,
24652383,
24652384,
24652385,
24652386,
24652387,
24652388,
24652389,
24652390,
24652391,
24652392,
24652393,
24652394,
24652395,
24652397,
24652398,
24652399,
24652400,
24652401,
24652402,
24652403,
24652404,
24652405,
24652406,
24652407,
24654763,
24654764,
24658297,
24658298,
24658299,
24658300,
24654765,
24654766,
24654767,
24654768,
24654769,
24654770,
24654771,
24654772,
24654773,
24654774,
24654775,
24658291,
24658292,
24658293,
24658294,
24654776,
24654777,
24654778,
24658295,
24658296,
24654758,
24654759,
24654760,
24652465,
24652466,
2632697,
24652468,
24652469,
24652470,
24652471,
24652472,
24652473,
24652474,
24652475,
24652476,
24652477,
2614674,
n/a,
24503018,
24503020,
24508204,
24508206,
24503702,
