Quill Item #,Description,Quill Description,PDP Link,Availability,Quill MSRP,Moun it MSRP
"901-24485665
",MOBILE DESK,"Mount-It! 28""W Manual Adjustable Standing Desk, Black (MI-7969)
",https://www.quill.com/mount-it-28w-manual-adjustable-standing-desk-black-mi-7969/cbs/55404565.html,Active,302.99,229.99
901-24485666,STANDING DESK,"Mount-It! 55""W Manual Adjustable Standing Desk, Black (MI-7981)
",https://www.quill.com/mount-it-55w-manual-adjustable-standing-desk-black-mi-7981/cbs/55404568.html,Active,380.99,249.99
"901-24493596
",ROLLING DESK,"Mount-It! Mobile 32""W Adjustable Standing Desk, Black (MI-7998B)
",https://www.quill.com/mount-it-mobile-32w-adjustable-standing-desk-black-mi-7998b/cbs/55408773.html,Active,179.99,164.99
901-24520137,STANDING DESK,"Mount-It! 48""W Electric Adjustable Standing Desk, White/Black (MI-18063)
",https://www.quill.com/mount-it-48w-electric-adjustable-standing-desk-white-black-mi-18063/cbs/55436220.html,Active,501.99,399.99
901-24520138,STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, White/Black (MI-18064)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-white-black-mi-18064/cbs/55436221.html,Active,539.99,389.99
901-24520139,STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, Brown/White (MI-18062)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-brown-white-mi-18062/cbs/55436222.html,Active,539.99,429.99
901-24520140,STANDING DESK,"Mount-It! 48""W Electric Adjustable Standing Desk, White (MI-18066)
",https://www.quill.com/mount-it-48w-electric-adjustable-standing-desk-white-mi-18066/cbs/55436211.html,Out of Stock,772.99,669.99
"901-24520141
",STANDING DESK,"Mount-It! 55""W Manual Adjustable Standing Desk, Brown/Black (MI-18071)
",https://www.quill.com/mount-it-55w-manual-adjustable-standing-desk-brown-black-mi-18071/cbs/55436214.html,Active,492.99,429.99
901-24520142,STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, Hazelnut Brown/Black (MI-18065)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-hazelnut-brown-black-mi-18065/cbs/55436216.html,Active,539.99,389.99
"901-24520143
",STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, White (MI-18067)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-white-mi-18067/cbs/55436223.html,Out of Stock,699.29,699.99
901-24520144,STANDING DESK,"Mount-It! 48""W Manual Adjustable Standing Desk, White/Black (MI-18069)
",https://www.quill.com/mount-it-48w-manual-adjustable-standing-desk-white-black-mi-18069/cbs/55436218.html,Active,490.99,399.99
901-24520145,STANDING DESK,"Mount-It! 55""W Manual Adjustable Standing Desk, White/Black (MI-18070)
",https://www.quill.com/mount-it-55w-manual-adjustable-standing-desk-white-black-mi-18070/cbs/55436224.html,Active,492.99,429.99
901-24520146,STANDING DESK,"Mount-It! 48""W Electric Adjustable Standing Desk, White (MI-18060)
",https://www.quill.com/mount-it-48w-electric-adjustable-standing-desk-white-mi-18060/cbs/55436212.html,Active,501.99,399.99
901-24520147,STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, Brown/White (MI-18068)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-brown-white-mi-18068/cbs/55436209.html,Out of Stock,706.49,699.99
901-24520148,STANDING DESK,"Mount-It! 55""W Electric Adjustable Standing Desk, White (MI-18061)
",https://www.quill.com/mount-it-55w-electric-adjustable-standing-desk-white-mi-18061/cbs/55436219.html,Active,539.99,429.99
901-24554105,MI-15004 STSTND DSK USB DRWR,"Mount-It! 47""W Electric Adjustable Standing Desk, Maple/White (MI-15004)
",https://www.quill.com/mount-it-47w-electric-adjustable-standing-desk-maple-white-mi-15004/cbs/55442669.html,Active,617.99,449.99
901-24554106,MI-15003 L CNR STSTND DSK,"Mount-It! 47""W Electric L-Shaped Corner Adjustable Standing Desk, Black (MI-15003)
",https://www.quill.com/mount-it-47w-electric-l-shaped-corner-adjustable-standing-desk-black-mi-15003/cbs/55442671.html,Active,520.99,449.99
901-24554107,MI-15002 L CNR STSTND DSK,"Mount-It! 57""W Electric L-Shaped Corner Adjustable Standing Desk, Black (MI-15002)
",https://www.quill.com/mount-it-57w-electric-l-shaped-corner-adjustable-standing-desk-black-mi-15002/cbs/55442670.html,Active,476.99,449.99
901-24554108,MI-15001 L CNR STSTND DSK,"Mount-It! 63""W Electric L-Shaped Corner Adjustable Standing Desk, Black (MI-15001)
",https://www.quill.com/mount-it-63w-electric-l-shaped-corner-adjustable-standing-desk-black-mi-15001/cbs/55442673.html,Active,530.99,499.99
901-24567955,MI-7979W MBLE SIT STAND WRKSTA,"Mount-It! 28""W Adjustable Steel Standing Desk, White (MI-7979W)
",https://www.quill.com/mount-it-28w-adjustable-steel-standing-desk-white-mi-7979w/cbs/55456394.html,Active,300.99,239.99
901-24590806,L-SHAPE ELEC SIT STAND DESK,"Mount-It! 63""W Electric L-Shaped Corner Adjustable Standing Desk, Rustic Brown/Black (MI-15010)",https://www.quill.com/mount-it-63w-electric-l-shaped-corner-adjustable-standing-desk-rustic-brown-black-mi-15010/cbs/55467642.html,Active,535.99,499.99
901-24591123,SIT STAND DESK 55W BLACK STD,"Mount-It! 55""W Electric Rectangular Adjustable Standing Desk, Black (MI-18087)",https://www.quill.com/mount-it-55w-electric-rectangular-adjustable-standing-desk-black-mi-18087/cbs/55467644.html,Active,473.99,389.99
,SIT STAND DESK 55W MAPLE ULT,,,Does Not Exist,,699.99
,SIT STAND DESK 55W BROWN ULT,,,Does Not Exist,,699.99
,SIT STAND DESK 55W ADRIFT ULT,,,Does Not Exist,,699.99
,SIT STAND DESK 55W MAPLE PREM,,,Does Not Exist,,549.99
901-24591128,SIT STAND DESK 55W BROWN PREM,"Mount-It! 55""W Electric Rectangular Adjustable Standing Desk, Brown/Black (MI-18114)
",https://www.quill.com/mount-it-55w-electric-rectangular-adjustable-standing-desk-brown-black-mi-18114/cbs/55460681.html,Active,549.99,549.99
901-24591129,SIT STAND DESK 55W OAK ULT,"Mount-It! Ultimate 55""W Electric Rectangular Adjustable Standing Desk, Oak/Black (MI-18082)",https://www.quill.com/mount-it-ultimate-55w-electric-rectangular-adjustable-standing-desk-oak-black-mi-18082/cbs/55464414.html,Active,629.99,699.99
,SIT STAND DESK 55W BLACK ULT,,,Does Not Exist,,699.99
